Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
2.50,0.08,0.08,0.09,0.09,0.08,0.09,0.11,0.09,0.08,0.07,0.08,0.07,0.00,0.00,0.01,0.00,0.07,0.06,0.11,0.10,0.10,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.04,0.08,0.10,0.10,0.10,0.10,0.10,0.10,0.09,0.09,0.09,0.10,0.09,0.10,0.10,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.10,0.11
2.75,0.08,0.09,0.10,0.10,0.08,0.10,0.12,0.10,0.09,0.08,0.09,0.08,0.00,0.00,0.01,0.00,0.08,0.06,0.11,0.10,0.11,0.10,0.10,0.09,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.05,0.09,0.10,0.10,0.10,0.11,0.11,0.12,0.10,0.10,0.10,0.10,0.10,0.11,0.11,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.05,0.06,0.10,0.11,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.11,0.12
3.00,0.09,0.09,0.11,0.10,0.09,0.10,0.12,0.11,0.09,0.09,0.10,0.09,0.00,0.00,0.01,0.00,0.09,0.07,0.12,0.11,0.12,0.11,0.11,0.10,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.05,0.10,0.11,0.11,0.11,0.11,0.12,0.12,0.10,0.10,0.10,0.11,0.11,0.12,0.12,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.04,0.08,0.11,0.11,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.11,0.12
3.25,0.10,0.10,0.12,0.11,0.09,0.11,0.13,0.12,0.10,0.09,0.10,0.09,0.00,0.00,0.00,0.00,0.10,0.09,0.12,0.11,0.13,0.11,0.12,0.11,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.06,0.11,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.11,0.11,0.11,0.12,0.13,0.12,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.04,0.09,0.11,0.12,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.12,0.13
3.50,0.10,0.10,0.12,0.12,0.09,0.11,0.13,0.12,0.11,0.10,0.11,0.10,0.00,0.00,0.00,0.00,0.11,0.09,0.12,0.12,0.13,0.12,0.13,0.12,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.06,0.11,0.12,0.13,0.12,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.13,0.14,0.13,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.05,0.10,0.12,0.13,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.13,0.13
3.75,0.11,0.11,0.13,0.12,0.10,0.12,0.14,0.14,0.12,0.11,0.12,0.11,0.00,0.00,0.00,0.00,0.11,0.09,0.12,0.12,0.14,0.13,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.07,0.12,0.13,0.14,0.13,0.14,0.14,0.14,0.13,0.12,0.13,0.12,0.13,0.14,0.14,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.05,0.09,0.12,0.14,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.13,0.14
4.00,0.12,0.11,0.13,0.13,0.10,0.13,0.15,0.14,0.12,0.12,0.13,0.11,0.00,0.00,0.00,0.00,0.12,0.10,0.13,0.13,0.15,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.07,0.13,0.14,0.15,0.14,0.15,0.15,0.15,0.14,0.13,0.13,0.13,0.14,0.15,0.14,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.05,0.10,0.13,0.15,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.14,0.14
4.25,0.13,0.12,0.14,0.14,0.11,0.13,0.15,0.15,0.13,0.12,0.13,0.13,0.00,0.00,0.00,0.00,0.12,0.10,0.14,0.14,0.16,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.07,0.13,0.14,0.16,0.14,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.15,0.16,0.15,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.05,0.10,0.13,0.15,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.14,0.15
4.50,0.13,0.13,0.14,0.15,0.11,0.14,0.16,0.16,0.14,0.13,0.15,0.12,0.00,0.00,0.00,0.00,0.13,0.10,0.14,0.14,0.16,0.15,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.08,0.14,0.15,0.17,0.15,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.16,0.17,0.16,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.05,0.10,0.13,0.16,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.15,0.15
4.75,0.15,0.13,0.15,0.16,0.11,0.14,0.16,0.16,0.15,0.14,0.15,0.14,0.00,0.00,0.00,0.00,0.14,0.10,0.15,0.14,0.17,0.16,0.16,0.17,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.08,0.14,0.16,0.17,0.16,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.16,0.17,0.17,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.06,0.11,0.13,0.17,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.10,0.15,0.16
5.00,0.15,0.13,0.15,0.17,0.12,0.15,0.17,0.17,0.16,0.14,0.16,0.15,0.00,0.00,0.00,0.00,0.14,0.11,0.15,0.15,0.17,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.08,0.15,0.16,0.19,0.16,0.17,0.18,0.18,0.17,0.16,0.16,0.16,0.18,0.18,0.17,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.06,0.11,0.13,0.17,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.10,0.16,0.17
5.25,0.16,0.14,0.16,0.17,0.12,0.15,0.17,0.18,0.16,0.15,0.16,0.14,0.00,0.00,0.00,0.00,0.14,0.11,0.15,0.15,0.18,0.17,0.17,0.18,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.09,0.15,0.17,0.20,0.17,0.18,0.19,0.18,0.18,0.16,0.17,0.17,0.18,0.19,0.18,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.06,0.11,0.14,0.18,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.10,0.17,0.17
5.50,0.17,0.15,0.17,0.17,0.13,0.16,0.18,0.19,0.17,0.15,0.17,0.15,0.00,0.00,0.00,0.00,0.14,0.11,0.16,0.16,0.18,0.18,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.09,0.15,0.17,0.20,0.18,0.18,0.19,0.19,0.18,0.17,0.17,0.17,0.19,0.19,0.18,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.06,0.11,0.14,0.18,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.11,0.17,0.18
5.75,0.18,0.15,0.17,0.18,0.13,0.16,0.18,0.19,0.18,0.16,0.17,0.16,0.00,0.00,0.00,0.00,0.14,0.12,0.16,0.16,0.18,0.18,0.19,0.18,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.09,0.15,0.18,0.21,0.19,0.19,0.20,0.19,0.19,0.18,0.18,0.18,0.20,0.20,0.19,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.07,0.12,0.14,0.19,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.11,0.18,0.19
6.00,0.17,0.17,0.18,0.19,0.13,0.16,0.19,0.20,0.19,0.17,0.18,0.16,0.00,0.00,0.00,0.00,0.14,0.12,0.17,0.17,0.19,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.09,0.16,0.18,0.21,0.19,0.19,0.20,0.19,0.20,0.18,0.19,0.19,0.20,0.21,0.20,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.06,0.12,0.15,0.19,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.12,0.18,0.19
6.25,0.19,0.16,0.18,0.19,0.14,0.17,0.19,0.20,0.19,0.17,0.18,0.18,0.00,0.00,0.00,0.00,0.15,0.12,0.17,0.17,0.20,0.19,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.09,0.16,0.19,0.22,0.19,0.20,0.21,0.20,0.20,0.19,0.19,0.19,0.20,0.21,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.06,0.12,0.15,0.19,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.12,0.19,0.20
6.50,0.18,0.17,0.18,0.18,0.14,0.18,0.20,0.21,0.19,0.18,0.19,0.18,0.00,0.00,0.00,0.00,0.15,0.13,0.18,0.17,0.20,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.10,0.16,0.19,0.22,0.20,0.20,0.21,0.20,0.20,0.19,0.20,0.20,0.20,0.22,0.21,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.06,0.12,0.15,0.20,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.12,0.19,0.20
6.75,0.19,0.17,0.19,0.19,0.15,0.18,0.20,0.21,0.20,0.18,0.19,0.17,0.00,0.00,0.00,0.00,0.15,0.13,0.18,0.18,0.20,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.09,0.16,0.19,0.22,0.20,0.20,0.22,0.20,0.21,0.20,0.20,0.20,0.21,0.22,0.21,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.07,0.13,0.16,0.20,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.13,0.20,0.20
7.00,0.19,0.17,0.18,0.19,0.15,0.18,0.20,0.21,0.19,0.18,0.20,0.19,0.00,0.00,0.00,0.00,0.15,0.13,0.19,0.19,0.21,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.10,0.16,0.20,0.22,0.20,0.20,0.21,0.20,0.21,0.20,0.21,0.21,0.21,0.22,0.21,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.07,0.13,0.16,0.20,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.13,0.20,0.21
7.25,0.20,0.19,0.19,0.19,0.16,0.18,0.21,0.21,0.20,0.19,0.20,0.18,0.00,0.00,0.00,0.00,0.15,0.13,0.19,0.19,0.20,0.21,0.20,0.21,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.10,0.17,0.20,0.22,0.20,0.20,0.22,0.20,0.21,0.20,0.21,0.21,0.22,0.22,0.21,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.07,0.14,0.16,0.21,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.13,0.21,0.21
7.50,0.19,0.18,0.19,0.20,0.16,0.18,0.21,0.22,0.20,0.19,0.20,0.19,0.00,0.00,0.00,0.00,0.16,0.13,0.20,0.19,0.21,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.09,0.17,0.20,0.22,0.21,0.21,0.22,0.20,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.07,0.14,0.16,0.21,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.14,0.21,0.22
7.75,0.20,0.18,0.19,0.20,0.17,0.19,0.21,0.22,0.21,0.19,0.21,0.20,0.00,0.00,0.00,0.00,0.16,0.13,0.20,0.20,0.21,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.17,0.20,0.22,0.20,0.21,0.22,0.20,0.22,0.21,0.22,0.22,0.23,0.23,0.22,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.07,0.15,0.17,0.21,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.14,0.22,0.22
8.00,0.19,0.18,0.19,0.20,0.17,0.19,0.21,0.22,0.21,0.20,0.22,0.20,0.00,0.00,0.00,0.00,0.16,0.13,0.20,0.20,0.21,0.21,0.21,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.17,0.21,0.23,0.21,0.21,0.22,0.20,0.22,0.21,0.22,0.22,0.23,0.23,0.22,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.07,0.15,0.17,0.21,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.14,0.22,0.22
