Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
11.00,0.20,0.21,0.19,0.20,0.18,0.20,0.24,0.25,0.25,0.21,0.26,0.24,0.00,0.00,0.00,0.00,0.15,0.17,0.23,0.22,0.23,0.22,0.22,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.24,0.28,0.22,0.22,0.23,0.22,0.23,0.23,0.24,0.25,0.26,0.26,0.24,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.08,0.18,0.19,0.23,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.18,0.24,0.24
11.25,0.20,0.21,0.19,0.20,0.18,0.20,0.23,0.25,0.25,0.22,0.25,0.25,0.00,0.00,0.00,0.00,0.15,0.17,0.22,0.22,0.23,0.22,0.22,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.24,0.27,0.22,0.22,0.23,0.22,0.23,0.23,0.24,0.25,0.26,0.26,0.24,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.08,0.18,0.20,0.23,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.18,0.24,0.24
11.50,0.20,0.20,0.19,0.21,0.18,0.20,0.24,0.26,0.26,0.22,0.26,0.25,0.00,0.00,0.00,0.00,0.15,0.18,0.22,0.22,0.23,0.23,0.22,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.18,0.24,0.28,0.22,0.22,0.23,0.22,0.24,0.24,0.24,0.26,0.27,0.26,0.23,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.08,0.18,0.19,0.23,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.19,0.24,0.24
11.75,0.21,0.21,0.19,0.20,0.18,0.20,0.24,0.26,0.25,0.22,0.26,0.25,0.00,0.00,0.00,0.00,0.15,0.18,0.22,0.22,0.23,0.23,0.23,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.18,0.24,0.28,0.22,0.22,0.23,0.22,0.24,0.24,0.24,0.26,0.27,0.26,0.23,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.08,0.18,0.19,0.23,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.19,0.25,0.24
12.00,0.21,0.21,0.20,0.20,0.19,0.20,0.24,0.26,0.27,0.21,0.26,0.26,0.00,0.00,0.00,0.00,0.15,0.18,0.22,0.21,0.23,0.23,0.22,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.17,0.25,0.29,0.22,0.22,0.24,0.22,0.24,0.24,0.24,0.26,0.27,0.26,0.23,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.08,0.18,0.19,0.23,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.19,0.25,0.25
12.25,0.21,0.21,0.20,0.20,0.19,0.20,0.24,0.27,0.25,0.21,0.28,0.25,0.00,0.00,0.00,0.00,0.15,0.18,0.23,0.22,0.23,0.23,0.22,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.17,0.25,0.29,0.22,0.22,0.24,0.23,0.24,0.24,0.25,0.26,0.28,0.26,0.23,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.08,0.18,0.19,0.23,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.19,0.25,0.25
12.50,0.21,0.22,0.20,0.20,0.19,0.20,0.24,0.27,0.26,0.22,0.27,0.26,0.00,0.00,0.00,0.00,0.15,0.18,0.23,0.21,0.23,0.23,0.22,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.17,0.25,0.29,0.22,0.22,0.24,0.23,0.24,0.24,0.25,0.27,0.28,0.26,0.23,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.08,0.19,0.20,0.23,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.19,0.25,0.25
12.75,0.21,0.21,0.20,0.20,0.19,0.20,0.24,0.27,0.26,0.22,0.27,0.26,0.00,0.00,0.00,0.00,0.15,0.18,0.23,0.22,0.23,0.23,0.22,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.16,0.25,0.29,0.22,0.22,0.24,0.23,0.24,0.24,0.25,0.27,0.29,0.26,0.23,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.09,0.19,0.20,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.19,0.25,0.25
13.00,0.21,0.21,0.20,0.20,0.19,0.21,0.24,0.28,0.27,0.22,0.27,0.26,0.00,0.00,0.00,0.00,0.15,0.18,0.23,0.22,0.24,0.23,0.22,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.16,0.25,0.29,0.22,0.23,0.24,0.23,0.24,0.24,0.25,0.27,0.29,0.26,0.23,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.09,0.19,0.20,0.23,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.19,0.26,0.25
13.25,0.22,0.21,0.21,0.20,0.19,0.20,0.25,0.27,0.26,0.22,0.29,0.26,0.00,0.00,0.00,0.00,0.15,0.19,0.23,0.22,0.24,0.23,0.22,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.16,0.25,0.30,0.22,0.23,0.24,0.23,0.24,0.24,0.24,0.27,0.29,0.26,0.23,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.09,0.19,0.19,0.23,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.20,0.26,0.25
13.50,0.22,0.22,0.20,0.21,0.19,0.21,0.24,0.28,0.27,0.21,0.28,0.27,0.00,0.00,0.00,0.00,0.15,0.19,0.23,0.21,0.24,0.23,0.22,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.15,0.25,0.30,0.23,0.23,0.24,0.23,0.25,0.24,0.24,0.28,0.30,0.27,0.23,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.09,0.19,0.21,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.19,0.25,0.25
13.75,0.22,0.22,0.20,0.20,0.19,0.21,0.24,0.28,0.27,0.22,0.29,0.28,0.00,0.00,0.00,0.00,0.15,0.18,0.22,0.22,0.24,0.23,0.22,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.16,0.25,0.30,0.23,0.23,0.24,0.23,0.24,0.24,0.24,0.28,0.30,0.27,0.23,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.09,0.19,0.21,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.20,0.26,0.25
14.00,0.22,0.22,0.21,0.21,0.19,0.20,0.25,0.27,0.27,0.22,0.29,0.27,0.00,0.00,0.00,0.00,0.16,0.19,0.23,0.22,0.24,0.23,0.22,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.15,0.25,0.30,0.23,0.23,0.24,0.23,0.25,0.24,0.25,0.28,0.30,0.27,0.24,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.09,0.19,0.21,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.20,0.26,0.25
14.25,0.22,0.22,0.20,0.21,0.19,0.21,0.25,0.28,0.27,0.22,0.29,0.28,0.00,0.00,0.00,0.00,0.16,0.18,0.23,0.22,0.23,0.23,0.22,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.15,0.25,0.31,0.23,0.23,0.25,0.23,0.25,0.25,0.25,0.29,0.32,0.27,0.24,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.09,0.20,0.21,0.24,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.20,0.26,0.25
14.50,0.22,0.22,0.21,0.21,0.19,0.20,0.25,0.29,0.27,0.22,0.30,0.29,0.00,0.00,0.00,0.00,0.16,0.19,0.23,0.22,0.24,0.23,0.22,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.16,0.25,0.32,0.23,0.23,0.25,0.23,0.25,0.25,0.24,0.28,0.32,0.27,0.24,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.09,0.20,0.21,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.20,0.26,0.25
14.75,0.22,0.22,0.21,0.21,0.19,0.20,0.25,0.29,0.27,0.22,0.29,0.28,0.00,0.00,0.00,0.00,0.16,0.19,0.23,0.22,0.24,0.23,0.22,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.15,0.26,0.31,0.23,0.23,0.24,0.23,0.25,0.25,0.25,0.29,0.32,0.27,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.09,0.19,0.22,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.20,0.27,0.25
15.00,0.22,0.22,0.21,0.21,0.19,0.21,0.26,0.30,0.27,0.22,0.29,0.28,0.00,0.00,0.00,0.00,0.16,0.19,0.23,0.22,0.24,0.24,0.22,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.15,0.25,0.32,0.23,0.23,0.25,0.22,0.25,0.25,0.24,0.29,0.33,0.27,0.24,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.09,0.20,0.22,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.21,0.27,0.25
15.25,0.22,0.21,0.21,0.21,0.20,0.21,0.25,0.30,0.28,0.23,0.31,0.30,0.00,0.00,0.00,0.00,0.16,0.19,0.23,0.22,0.24,0.23,0.22,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.15,0.25,0.31,0.23,0.23,0.25,0.23,0.25,0.25,0.25,0.29,0.32,0.27,0.24,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.09,0.20,0.22,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.21,0.27,0.25
15.50,0.22,0.22,0.21,0.21,0.20,0.21,0.25,0.31,0.27,0.23,0.32,0.29,0.00,0.00,0.00,0.00,0.16,0.19,0.23,0.22,0.24,0.23,0.22,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.15,0.25,0.31,0.23,0.23,0.25,0.22,0.25,0.25,0.25,0.30,0.33,0.27,0.24,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.09,0.20,0.22,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.21,0.27,0.25
15.75,0.23,0.22,0.21,0.22,0.19,0.21,0.25,0.30,0.27,0.23,0.31,0.29,0.00,0.00,0.00,0.00,0.16,0.20,0.23,0.22,0.24,0.23,0.22,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.25,0.32,0.23,0.23,0.24,0.23,0.25,0.25,0.25,0.30,0.33,0.27,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.09,0.20,0.22,0.24,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.21,0.27,0.25
16.00,0.22,0.22,0.21,0.21,0.19,0.21,0.25,0.31,0.28,0.23,0.31,0.29,0.00,0.00,0.00,0.00,0.16,0.19,0.23,0.22,0.24,0.24,0.22,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.26,0.33,0.23,0.23,0.25,0.22,0.25,0.25,0.25,0.30,0.33,0.27,0.24,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.09,0.20,0.22,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.21,0.27,0.25
16.25,0.23,0.21,0.22,0.22,0.20,0.21,0.25,0.31,0.28,0.23,0.31,0.29,0.00,0.00,0.00,0.00,0.16,0.20,0.23,0.22,0.25,0.23,0.22,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.26,0.32,0.23,0.23,0.25,0.23,0.25,0.25,0.25,0.30,0.33,0.27,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.10,0.20,0.22,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.21,0.27,0.25
16.50,0.22,0.22,0.21,0.21,0.19,0.21,0.25,0.30,0.28,0.23,0.33,0.30,0.00,0.00,0.00,0.00,0.16,0.19,0.23,0.22,0.25,0.23,0.22,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.26,0.34,0.23,0.24,0.25,0.22,0.25,0.25,0.25,0.30,0.33,0.27,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.10,0.20,0.23,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.21,0.27,0.25
16.75,0.23,0.22,0.21,0.21,0.19,0.21,0.25,0.31,0.27,0.23,0.32,0.30,0.00,0.00,0.00,0.00,0.16,0.19,0.23,0.22,0.25,0.23,0.22,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.26,0.34,0.23,0.24,0.25,0.22,0.25,0.25,0.25,0.30,0.34,0.27,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.10,0.20,0.22,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.21,0.28,0.25
17.00,0.23,0.21,0.21,0.22,0.19,0.21,0.25,0.32,0.27,0.23,0.33,0.29,0.00,0.00,0.00,0.00,0.15,0.20,0.23,0.22,0.25,0.23,0.22,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.26,0.33,0.23,0.24,0.25,0.22,0.25,0.25,0.25,0.31,0.33,0.27,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.10,0.20,0.23,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.21,0.28,0.25
17.25,0.23,0.21,0.21,0.22,0.19,0.21,0.26,0.31,0.28,0.23,0.33,0.29,0.00,0.00,0.00,0.00,0.16,0.20,0.23,0.22,0.25,0.23,0.22,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.15,0.27,0.34,0.23,0.23,0.25,0.22,0.25,0.25,0.25,0.31,0.34,0.27,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.10,0.20,0.23,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.22,0.28,0.25
17.50,0.23,0.21,0.22,0.22,0.19,0.21,0.25,0.31,0.29,0.23,0.33,0.31,0.00,0.00,0.00,0.00,0.16,0.20,0.23,0.22,0.25,0.22,0.22,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.27,0.34,0.23,0.24,0.25,0.22,0.25,0.25,0.25,0.31,0.34,0.27,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.10,0.20,0.23,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.22,0.28,0.24
17.75,0.23,0.21,0.22,0.22,0.19,0.20,0.26,0.31,0.29,0.23,0.33,0.30,0.00,0.00,0.00,0.00,0.16,0.20,0.23,0.22,0.25,0.22,0.22,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.26,0.35,0.23,0.24,0.25,0.22,0.25,0.25,0.25,0.31,0.34,0.27,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.10,0.20,0.23,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.21,0.28,0.25
18.00,0.23,0.21,0.22,0.22,0.19,0.21,0.26,0.31,0.29,0.23,0.33,0.31,0.00,0.00,0.00,0.00,0.16,0.20,0.23,0.22,0.25,0.23,0.22,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.27,0.34,0.23,0.24,0.25,0.22,0.25,0.25,0.25,0.32,0.34,0.27,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.10,0.20,0.23,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.22,0.28,0.24
18.25,0.23,0.21,0.22,0.22,0.19,0.21,0.26,0.32,0.30,0.23,0.32,0.31,0.00,0.00,0.00,0.00,0.16,0.20,0.23,0.22,0.25,0.23,0.22,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.27,0.34,0.23,0.24,0.25,0.22,0.25,0.25,0.25,0.31,0.34,0.27,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.10,0.21,0.23,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.22,0.28,0.24
18.50,0.23,0.21,0.22,0.22,0.19,0.21,0.26,0.32,0.29,0.23,0.33,0.32,0.00,0.00,0.00,0.00,0.16,0.20,0.23,0.22,0.25,0.23,0.22,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.27,0.33,0.23,0.24,0.25,0.22,0.25,0.25,0.25,0.32,0.34,0.27,0.25,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.10,0.21,0.23,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.22,0.28,0.24
18.75,0.23,0.21,0.22,0.22,0.19,0.21,0.26,0.31,0.29,0.23,0.34,0.33,0.00,0.00,0.00,0.00,0.16,0.20,0.23,0.22,0.26,0.23,0.22,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.16,0.28,0.34,0.23,0.24,0.26,0.22,0.25,0.25,0.25,0.32,0.34,0.27,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.10,0.20,0.23,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.22,0.28,0.24
19.00,0.23,0.21,0.22,0.22,0.19,0.20,0.26,0.32,0.29,0.23,0.35,0.29,0.00,0.00,0.00,0.00,0.16,0.20,0.23,0.21,0.25,0.23,0.22,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.28,0.35,0.22,0.24,0.26,0.22,0.25,0.25,0.25,0.32,0.35,0.27,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.10,0.21,0.23,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.22,0.28,0.24
19.25,0.24,0.21,0.21,0.22,0.19,0.20,0.26,0.32,0.30,0.23,0.34,0.30,0.00,0.00,0.00,0.00,0.16,0.20,0.23,0.22,0.25,0.23,0.22,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.28,0.35,0.23,0.23,0.26,0.22,0.25,0.25,0.25,0.33,0.34,0.27,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.10,0.21,0.23,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.22,0.28,0.24
19.50,0.23,0.21,0.21,0.22,0.19,0.21,0.26,0.31,0.29,0.22,0.34,0.31,0.00,0.00,0.00,0.00,0.16,0.20,0.23,0.21,0.25,0.23,0.22,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.28,0.35,0.23,0.24,0.26,0.22,0.25,0.25,0.25,0.32,0.34,0.27,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.10,0.21,0.24,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.22,0.28,0.24
19.75,0.24,0.21,0.22,0.22,0.20,0.21,0.26,0.31,0.30,0.22,0.34,0.32,0.00,0.00,0.00,0.00,0.16,0.20,0.23,0.22,0.25,0.23,0.22,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.28,0.36,0.22,0.24,0.26,0.22,0.25,0.25,0.25,0.33,0.35,0.27,0.25,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.11,0.21,0.23,0.24,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.22,0.28,0.24
